ClassID,Default,ClassName
0,0,KATYN_17_BAHBARD
0,0,SIAULIAI_16_VACENIN_1
0,0,SIAULIAI_16_VACENIN_2
0,0,SIAULIAI_15_VACENIN_1
0,0,SIAULIAI_15_VACENIN_2
0,0,KATYN_14_VACENIN
0,0,SIAUL_ST2_HIDDENQUEST_1
0,0,ACT2_DESERTER1
0,0,ACT2_DESERTER2
0,0,ACT2_DESERTER3
0,0,ACT2_DESERTER4
0,0,ACT2_DESERTER5
0,0,ACT2_DISS1_BOX
0,0,ACT2_CURE1
0,0,ACT2_CURE2
0,0,ACT2_CURE3
0,0,ACT2_CURE4
0,0,ACT2_CURE5
0,0,ACT2_DAZED1
0,0,MINE1_3
0,0,MINE1_6
0,0,MINE1_1
0,0,MINE1_4
0,0,MINE1_2
0,0,MINE1_5
0,0,KATYN7_2_OWL7
0,0,WS_SIAULST3_CMINE8
0,0,f_siauliai_west_ev_3_042
0,0,f_siauliai_west_ev_1_PropUp1
0,0,f_siauliai_west_ev_1_statup1
0,0,KATYN7_2_GETCORPSE1
0,0,KATYN7_2_GETCORPSE2
0,0,KATYN7_2_GETCORPSE3
0,0,KATYN7_2_GETCORPSE4
0,0,KATYN7_2_GETCORPSE5
0,0,KATYN7_2_GETCORPSE6
0,0,KATYN7_2_GETCORPSE7
0,0,KATYN7_2_GETCORPSE8
0,0,KATYN7_2_GETCORPSE9
0,0,KATYN7_2_GETCORPSE10
0,0,KATYN7_2_GETCORPSE11
0,0,KATYN7_2_GETCORPSE12
0,0,KATYN12_TO_ALCHE3_1
0,0,KATYN12_TO_ALCHE3_2
0,0,KATYN13_3_CURIOUS
0,0,ACT3_ALCHEMY
0,0,CMINE08_MINER_SUB
0,0,CMINE08_CORPSE
0,0,CMINE08_WALL01
0,0,CMINE08_WALL02
0,0,CMINE08_WALL03
0,0,CMINE08_SUMMON03
0,0,KATYN18_01_WEAKENOWL
0,0,KATYN18_05_HOLYOWL
0,0,KATYN18_05_GLOOM
0,0,KATYN18_50_CORRUPT
0,0,KATYN18_51_POLLUTION
0,0,KATYN18_11_FORE
0,0,SO_HIDD_BUBE
0,0,ROKAS_24_BEARD
0,0,ROKAS_24_REXIPHER
0,0,ZACHA32_QUEST01_01
0,0,ZACHA32_QUEST01_02
0,0,ZACHA32_QUEST01_03
0,0,ZACHA32_QUEST01_04
0,0,ZACHA32_QUEST01_05
0,0,MON_ZACHA32_QUEST02
0,0,THORN21_TO_BOSS_Q1
0,0,THORN21_TO_BOSS_Q2
0,0,THORN21_TO_BOSS_Q3
0,0,THORN21_TO_BOSS_Q4
0,0,THORN21_TO_BOSS_Q5
0,0,THORN21_TO_BOSS_Q6
0,0,THORN21_TO_BOSS_Q7
0,0,THORN19_OWL9
0,0,THORN22_FIREWOOD_1
0,0,THORN22_FIREWOOD_2
0,0,THORN22_Q_6_BONFIRE
0,0,THORN22_1_THORN22_2
0,0,THORN22_2_THORN22_3
0,0,JOB_DIEVDIRBYS2_NPC
0,0,THORN23_BOSS_TRIGGER
0,0,THORN22_OROURKE
0,0,THORN22_POULLTER
0,0,THORN23_ALAN
0,0,THORN23_PALANCE
0,0,THORN23_WALLACE
0,0,THORN23_WISE
0,0,THORN23_SUPPLY
0,0,THORN23_FIRETRIGGER
0,0,THORN23_BONFIRE
0,0,THORN23_1_THORN23_2
0,0,THORN23_2_THORN23_3
0,0,THORN23_PIECE_1
0,0,THORN23_PIECE_2
0,0,THORN23_PIECE_3
0,0,THORN23_OWL4
0,0,THORN23_OWL5
0,0,THORN23_ROKAS24
0,0,ROKAS26_CAMOU02
0,0,ROKAS26_CAMOU03
0,0,ROKAS27_REXITHER_1
0,0,ROKAS27_REXITHER_2
0,0,ROKAS27_REXITHER_3
0,0,ROKAS27_ZACHARIEL32
0,0,ZACHA32_REXITHER_2
0,0,ROKAS27_ROKAS28
0,0,ROKAS24_ROKAS25
0,0,ROKAS31_PACT_END
0,0,ROKAS31_REXITHER2
0,0,ROKAS31_REXITHER3
0,0,ROKAS26_LINT
0,0,ROKAS26_EHTA
0,0,ROKAS26_CAMOU01
0,0,ROKAS26_HIDE_01
0,0,ROKAS26_HIDE_02
0,0,ROKAS26_HIDE_03
0,0,ROKAS26_ROKAS27
0,0,ROKAS30_LAST_RELIC
0,0,ROKAS30_ATK_DEFENCE
0,0,ROKAS30_INTERPRETATION1
0,0,ROKAS30_INTERPRETATION3
0,0,ROKAS30_LANGUAGESPIRIT
0,0,ROKAS29_INITIATING1
0,0,ROKAS29_RESQUE_ODEL
0,0,ROKAS29_HALF_SUCCESS1
0,0,ROKAS28_ODEL
0,0,ROKAS28_TRAP_ODEL
0,0,ROKAS28_EXPOSURE
0,0,THORN20_OWL1
0,0,THORN20_OWL7
0,0,THORN20_OWL2
0,0,THORN20_magic5
0,0,ROKAS31_RUNNER_NPC
0,0,SIAUL_EAST_SUPPLY_MANAGER
0,0,SIAUL_EAST_SOLDIER4
0,0,SIAUL_EAST_SOLDIER6
0,0,SIAUL_EAST_SOLDIER7
0,0,SIAUL_EAST_SOLDIER8
0,0,SIAULIAIOUT_Q02
0,0,MINE_3_GIRL
0,0,SIAULIAIOUT_119_1
0,0,SIAULIAIOUT_119_2
0,0,SIAULIAIOUT_119_3
0,0,SIAULIAIOUT_119_4
0,0,SIAULIAIOUT_119_5
0,0,SIAULIAIOUT_119_6
0,0,SIAULIAIOUT_119_7
0,0,SIAULIAIOUT_119_8
0,0,SIAULIAIOUT_119_9
0,0,SIAULIAIOUT_STONE
0,0,SIAULIAIOUT_RETUA
0,0,SIAULIAIOUT_CMAN
0,0,SIAULIAIOUT_RUNNER
0,0,SIAULIAIOUT_CURE
0,0,SIAULIAIOUT_HIDD
0,0,SIAULIAIOUT_GUARD
0,0,SIAULIAIOUT_CHIEF
0,0,SIAULIAIOUT_CART
0,0,SIAULIAIOUT_MINER_B
0,0,SIAULIAIOUT_MINER_A
0,0,SIAULIAIOUT_HEALER_A
0,0,SIAULIAIOUT_ALCHE
0,0,SIAULIAIOUT_ALCHE_A
0,0,SIAULIAIOUT_BLOCK
0,0,SIAUL_WEST_BOSS_GOLEM_TRIGGER
0,0,KATYN10_SECTOR3_OWL01_FALL
0,0,KATYN10_SECTOR3_OWL01_STAND
0,0,KATYN10_SECTOR2_OWL01_FALL
0,0,KATYN10_SECTOR2_OWL01_STAND
0,0,KATYN10_PRE_BOSS
0,0,KATYN10_SECTOR4_OWL01_STAND
0,0,KATYN10_LOSTYHING
0,0,KATYN10_LOST_OFFICER
0,0,KATYN10_FAILER_SOLDIER
0,0,KATYN10_FAILER_WIZ
0,0,KATYN10_FIREWORK
0,0,SIAULIAI11_FORESTKEEPER3
0,0,CMINE6_TO_KATYN7_1_NPC
0,0,MINE_3_ALCHEMIST
0,0,KATYN72_DEAD01
0,0,KATYN72_DEAD02
0,0,KATYN72_CORPSE
0,0,KATYN72_GHOST
0,0,KATYN13_1_OWLJUNIOR3
0,0,KATYN13_ADDQUEST1_NPC
0,0,KATYN13_ADDQUEST2_NPC
0,0,KATYN13_ADDQUEST3_NPC
0,0,KATYN13_3_CURIOUS2
0,0,KATYN14_VACENIN_AFTER
0,0,KATYN14_VACENIN_CHASE
0,0,KATYN14_SCT04_OWL_MON01
0,0,KATYN14_SCT04_OWL_MON02
0,0,KATYN14_VACENIN
0,0,KATYN13_ADDQUEST7_NPC
0,0,KATYN13_ADDQUEST8_NPC
0,0,SIAUL15_FENCE_01
0,0,SIAUL15_FENCE_02
0,0,SIAUL15_SOL03
0,0,SIAUL15_FORESTER_01
0,0,SIAUL15_VACENIN_01
0,0,SIAU15_MQ_28_BEB
0,0,SIAUL15_VACENIN_02
0,0,KATYN17_ELTKILL1_NPC
0,0,KATYN18_FENCE
0,0,KATYN18_GOD
0,0,KATYN18_TESTER_01
0,0,KATYN18_TESTER_02
0,0,KATYN18_TESTER_03
0,0,KATYN18_MQ_27_TRACK
0,0,KATYN18_MQ_28_TRACK
0,0,KATYN18_MQ_29_TRACK
0,0,KATYN18_OWL_02
0,0,KATYN72_BOSS
0,0,KATYN13_2_GETSTORY01
0,0,KATYN13_2_GETSTORY02
0,0,KATYN13_2_GETSTORY03
0,0,KATYN13_2_GETSTORY04
0,0,KATYN13_2_GETSTORY05
32768,0,KATYN13_2_GETSTORY06
0,0,KATYN13_2_GETSTORY07
32768,0,SIAUL15_FLAG
0,0,KATYN18_MAIN_OWL
32768,0,KATYN18_MAIN_OWL_2
0,0,KATYN71_OFFICER
32768,0,KATYN71_OFFICER_AFTER
0,0,STEALTH_OBJ
0,0,KATYN18_MQ_30_KEY
32768,0,KATYN18_MQ_30_GO
0,0,WARP_F_KATYN_18
0,0,ROKAS25_REXIPHER3
32768,0,ROKAS25_REXIPHER4
0,0,ROKAS25_ZACHARIEL32
32768,0,ROKAS25_REXIPHER2
0,0,ROKAS_24_FLORIJONAS
32768,0,ROKAS_24_FLORIJONAS2
0,0,ROKAS_24_FLORIJONAS3
32768,0,ROKAS_24_FLORIJONAS4
0,0,ROKAS24_DABIO
32768,0,ROKAS28_ODEL_MQ4_DLG
0,0,ROKAS28_ODEL_MQ6
32768,0,MINE_3_STONE
0,0,ROKAS31_DABIO_NPC
32768,0,ROKAS31_GANUTE_NPC
0,0,ROKAS31_GANUTE_NPCB
0,0,MASTER_CLERIC
32768,0,KATYN10_PASS_01
0,0,KATYN10_PASS_02
32768,0,KATYN10_PASS_03
0,0,KATYN10_PASS_04
0,0,KATYN18_MAIN_OWL_3
32768,0,KATYN18_BOSS_KILL
0,0,ROKAS_24_ARCHAEOLOGIST
32768,0,ROKAS27_QB_1
0,0,ROKAS27_DESIG_01
32768,0,ROKAS27_DESIG_02
0,0,ROKAS25_HILDA1
32768,0,ROKAS25_HILDA2
0,0,ROKAS25_HILDA3
32768,0,ROKAS30_PIPOTI
0,0,VACYS_LIVE
32768,0,ROKAS29_BAG
0,0,VACYS_SOUL
32768,0,ROKAS24_PIPOTI
0,0,ROKAS31_RECORD
32768,0,ROKAS26_SUB_Q10_TRIGGER
0,0,ROKAS26_REXIPHER1
32768,0,ROKAS26_REXIPHER2
0,0,ROKAS26_REXIPHER3
32768,0,ROKAS26_REXIPHER4
0,0,ROKAS26_REXIPHER5
