ClassID,ClassName,Job,ItemName,Option
0,GuildGift1_1,Char1,Sword_falchion_D,YES
0,GuildGift1_2,Char1,Sword_falchion_D,YES
0,GuildGift1_3,Char1,Shield_bead_D,YES
0,GuildGift1_6,Char3,TwoHandBow_12004,YES
0,GuildGift1_7,Char3,TwoHandBow_12004,YES
0,GuildGift1_8,Char3,TwoHandBow_12004,YES
0,GuildGift1_11,Char2,Staff_pewterwand_D,YES
0,GuildGift1_12,Char2,Staff_pewterwand_D,YES
0,GuildGift1_13,Char2,Staff_pewterwand_D,YES
0,GuildGift1_16,Char4,Mace_15004,YES
0,GuildGift1_17,Char4,Mace_15004,YES
0,GuildGift1_18,Char4,Shield_13004,YES
0,GuildGift1_21,Char5,Spellbook_16004,YES
0,GuildGift1_22,Char5,Spellbook_16004,YES
0,GuildGift1_23,Char5,Spellbook_16004,YES
0,GuildGift2_1,Char1,Sword_falchion_D,YES
0,GuildGift2_2,Char1,Sword_falchion_D,YES
0,GuildGift2_3,Char1,Shield_bead_D,YES
0,GuildGift2_4,Char1,Body_20002,YES
0,GuildGift2_5,Char1,Body_20002,YES
0,GuildGift2_6,Char5,TwoHandBow_12002,YES
0,GuildGift2_7,Char5,TwoHandBow_12002,YES
0,GuildGift2_8,Char5,TwoHandBow_12002,YES
0,GuildGift2_9,Char5,Body_20002,YES
0,GuildGift2_10,Char5,Body_20002,YES
0,GuildGift2_11,Char2,Staff_cane_D,YES
0,GuildGift2_12,Char2,Staff_cane_D,YES
0,GuildGift2_13,Char2,Staff_cane_D,YES
0,GuildGift2_14,Char2,Body_20002,YES
0,GuildGift2_15,Char2,Body_20002,YES
0,GuildGift2_16,Char3,Mace_15002,YES
0,GuildGift2_17,Char3,Mace_15002,YES
0,GuildGift2_18,Char3,Shield_bead_D,YES
0,GuildGift2_19,Char3,Body_20002,YES
0,GuildGift2_20,Char3,Body_20002,YES
0,GuildGift2_21,Char4,Spellbook_16002,YES
0,GuildGift2_22,Char4,Spellbook_16002,YES
0,GuildGift2_23,Char4,Spellbook_16002,YES
0,GuildGift2_24,Char4,Body_20002,YES
0,GuildGift2_25,Char4,Body_20002,YES
0,GuildGif3_1,Char1,Sword_kaskara_D,YES
0,GuildGif3_2,Char1,Sword_kaskara_D,YES
0,GuildGif3_3,Char1,Shield_mercenarys_D,YES
0,GuildGif3_4,Char1,Body_20003,YES
0,GuildGif3_5,Char1,Body_20003,YES
0,GuildGif3_6,Char5,TwoHandBow_12003,YES
0,GuildGif3_7,Char5,TwoHandBow_12003,YES
0,GuildGif3_8,Char5,TwoHandBow_12003,YES
0,GuildGif3_9,Char5,Body_20003,YES
0,GuildGif3_10,Char5,Body_20003,YES
0,GuildGif3_11,Char2,Staff_crook_D,YES
0,GuildGif3_12,Char2,Staff_crook_D,YES
0,GuildGif3_13,Char2,Staff_crook_D,YES
0,GuildGif3_14,Char2,Body_20003,YES
0,GuildGif3_15,Char2,Body_20003,YES
0,GuildGif3_16,Char3,Mace_15003,YES
0,GuildGif3_17,Char3,Mace_15003,YES
0,GuildGif3_18,Char3,Shield_mercenarys_D,YES
0,GuildGif3_19,Char3,Body_20003,YES
0,GuildGif3_20,Char3,Body_20003,YES
0,GuildGif3_21,Char4,Spellbook_16003,YES
0,GuildGif3_22,Char4,Spellbook_16003,YES
0,GuildGif3_23,Char4,Spellbook_16003,YES
0,GuildGif3_24,Char4,Body_20003,YES
0,GuildGif3_25,Char4,Body_20003,YES
