ClassID,DefNumValue,ClassName,Type,DefStrValue,ClientScp
0,0,GuildQuestLV,Number,,
0,0,HideCompletedQuest,Number,,
0,0,ShowExpValue,Number,,
0,0,ShowItemAdd,Number,,
0,0,NotUseFieldEvent,Number,,
0,0,ViewServerFPS,Number,,
0,0,ViewMonsterInfo,Number,,
0,0,MinPksDelay,Number,,
0,0,MaxPksDelay,Number,,
0,0,UseSnap,Number,,config.UpdateSnap()
0,0,ChatHistoryCnt,Number,,
0,0,ViewSkillRange,Number,,
0,0,ExpLock,Number,,
0,0,ArcherAutoShot,Number,,
0,0,ViewCharInfoBase,Number,,
0,0,CraftMaterial,Number,,
0,0,ShowChatBalloon,Number,,
0,0,ChatRejectWhisper,Number,,
0,0,ChatRejectGroup,Number,,
0,0,HideGivenName,Number,,
0,0,ShowQuestGuide,Number,,
0,0,EnableWarfog,Number,,
0,0,EnableBloom,Number,,
0,0,EnableFXAA,Number,,
0,0,EnableGLOW,Number,,
0,0,EnableDepth,Number,,
0,0,QuestShareFolded,Number,,
0,0,UsePartySearchCondition,Number,,
0,0,PartySearch_QuestShare,Number,,
0,0,PartySearch_ExpShare,Number,,
0,0,PartySearch_ItemShare,Number,,
0,0,Friend_ShowOnlyOnline,Number,,
0,0,EnableSoftParticle,Number,,
0,0,EnableLow,Number,,
