ClassID,HP,ATK,DEF,MoveSpeed,EXP,JEXP,HateType,ClassName,ClassDesc,Tendency
0,0,0,0,0,0,0,0,type1,S/Normal,
0,0,0,0,0,0,0,0,type2,S/Fast_Many,Attack
0,0,0,0,0,0,0,0,type3,M/Bube_Spear,Attack
0,0,0,0,0,0,0,0,type4,M/Normal,
0,0,0,0,0,0,0,0,type5,M/Archer,Attack
0,0,0,0,0,0,0,0,type6,M/Fast,Attack
0,0,0,0,0,0,0,0,type7,S/Attacker,Attack
0,0,0,0,0,0,0,0,type8,M/Defence,Attack
0,0,0,0,0,0,0,0,type9,M/Life,Attack
0,0,0,0,0,0,0,0,type10,M/Hold,Attack
0,0,0,0,0,0,0,0,type11,L/leader_mon,Attack
0,0,0,0,0,0,0,0,type12,L/hold_Archer,Attack
0,0,0,0,0,0,0,0,type13,L/Solo_monster,Attack
0,0,0,0,0,0,0,0,type14,S/Most_Weake,
0,0,0,0,0,0,0,0,type15,M/Speed_Attacker,Attack
0,0,0,0,0,0,0,0,type16,M/Mage_mon,Attack
0,0,0,0,0,0,0,0,type17,S/Heal_buff,
0,0,0,0,0,0,0,0,type18,Track_boss,
0,24576,0,0,0,16384,16384,0,type19,RaidBoss,
0,32768,0,0,0,32768,32768,0,type20,M_Boss,
0,24576,0,0,0,20480,20480,0,type21,Market_Boss,Attack
0,0,0,0,0,0,0,0,type22,Summons,Attack
0,0,0,0,0,0,0,0,type23,NPC_Melee,Attack
0,0,0,0,0,0,0,0,type24,NPC_Magic,Attack
0,0,0,0,0,0,0,0,type25,L/elitekepa,
0,15360,0,0,0,0,0,0,type26,NPC/BattleAssist,Attack
0,32768,0,0,0,0,0,0,type27,Track_chobo,
0,0,0,0,0,32768,32768,0,type28,Party_Boss,Attack
