ClassID,ClassName,HostileTo
0,Law,Chaos;Monster;Trap_Sin;Pvp;HitMe;IceWall;Dice;RootCrystal;Monster_Chaos1;Monster_Chaos2;Monster_Chaos3;Monster_Chaos4;CrazyMonster;Mon_Enemy;Monster_Forces
0,Chaos,Law;Monster;Trap_Sin;IceWall;RootCrystal
0,Neutral,Monster;IceWall;Monster_Chaos1;Monster_Chaos2;Monster_Chaos3;Monster_Chaos4;CrazyMonster
0,Monster,Law;Chaos;Defenseless_Pc;Pvp;Our_Forces;IceWall;Law_Alliance;Monster_Chaos1;Monster_Chaos2;Monster_Chaos3;Monster_Chaos4;Summon;FreeForAll;CrazyMonster;Mon_Our_Forces
0,Trigger,Monster
0,Peaceful,
0,Trap,Law;Chaos;Neutral;Monster;IceWall
0,Trap_Sin,Law;Chaos;Neutral;Monster;IceWall
0,TurnRaid_Mon,TurnRaid_Pc;IceWall
0,TurnRaid_Pc,IceWall
0,Defenseless_Pc,IceWall
0,CrazyMonster,Chaos;Neutral;Monster;Defenseless_Pc;Pvp;IceWall;Summon;FreeForAll;Bomb;Law
0,Pet,
0,MissionMon,Team_2;Team_1;IceWall
0,Pvp,Pvp;Monster;Law;Summon;HitMe;IceWall
0,Our_Forces,Monster;IceWall
0,Summon,Pvp;Monster;IceWall;Mon_Dummy
0,HitMe,
0,LifeStream,Law;Neutral;Summon;Our_Forces;Defenseless_Pc
0,IceWall,
0,Bomb,Pvp;Monster;IceWall
0,Dice,
0,Law_Alliance,Chaos;Monster;Trap_Sin;Pvp;IceWall
0,Monster_Chaos1,Law;Chaos;Defenseless_Pc;Pvp;Our_Forces;IceWall;Law_Alliance;Monster_Chaos2;Monster_Chaos3;Monster_Chaos4;Hidden_tgt
0,Monster_Chaos2,Law;Chaos;Defenseless_Pc;Pvp;Our_Forces;IceWall;Law_Alliance;Monster_Chaos1;Monster_Chaos3;Monster_Chaos4;Hidden_tgt
0,Monster_Chaos3,Law;Chaos;Defenseless_Pc;Pvp;Our_Forces;IceWall;Law_Alliance;Monster_Chaos1;Monster_Chaos2;Monster_Chaos4;Hidden_tgt
0,Monster_Chaos4,Law;Chaos;Defenseless_Pc;Pvp;Our_Forces;IceWall;Law_Alliance;Monster_Chaos1;Monster_Chaos2;Monster_Chaos3;Hidden_tgt
0,RootCrystal,
0,Team_1,MissionMon;Monster;Team_2;TeamMon_2;MCy_Treasure;IceWall;Law
0,Team_2,MissionMon;Monster;Team_1;TeamMon_1;MCy_Treasure;IceWall;Law
0,TeamMon_1,MissionMon;Monster;Team_2;TeamMon_2;IceWall
0,TeamMon_2,MissionMon;Monster;Team_1;TeamMon_1;IceWall
0,MCy_Treasure,Team_1;Team_2
0,FreeForAll,FreeForAll;Monster;Law
0,Hidden_tgt,Monster_Chaos1;Monster_Chaos2;Monster_Chaos3;Monster_Chaos4
0,Monster_Forces,Law;Defenseless_Pc;Pvp;Our_Forces;IceWall;Law_Alliance;Summon;FreeForAll;CrazyMonster
0,Force_Hit,Our_Forces
0,Mon_Our_Forces,Mon_Enemy
0,Mon_Enemy,Mon_Our_Forces;Law
0,Mon_Dummy,
