ClassID,Value,ClassName,Desc,UseInScript
0,0,USE_SKL_READY,게임내에서 스킬레디를 사용함,NO
0,0,USE_LAG_DELAY,패킷이 오기전까지 스킬레디를 않함,NO
0,0,OVERKILL_EXP_RATIO,오버킬 경험치 획득량 (0~2),NO
0,0,TARGET_ANGLE_SCORE,자동타겟시 각도의 중요도 (-10000~-1000),NO
0,0,TARGET_DIST_SCORE,자동타겟시 거리의 중요도 (-100~-1000),NO
0,0,TARGET_HEIGHT_SCORE,자동타겟시 높이의 중요도 (-100~-1000),NO
0,0,TARGET_LOOK_DIST,타겟을 쳐다보는 거리(100~200),NO
0,0,TARGET_DECAL_MOVE_SPD,키보드 타겟시에 데칼 이동속도,NO
0,16384,KDRANK_RESET_TIME,넉다운 랭크 리셋시간,NO
0,16384,SKILL_COMBO_TIME,스킬콤보시간,YES
0,0,COMBO_SHOT_COUNT,최소콤보갯수,NO
0,0,HITEFFECT_DEAD_POWER,적을 죽였을 때 파편날라가는 보너스 파워,NO
0,0,SPLASH_MAX_HIT,스플래쉬 최고 히트개수,NO
0,0,GUARD_COUNTER_TIME,반격가능 타임,NO
0,0,BATTLE_STATE_TIME,전투상태 유지시간,NO
0,52429,JUST_FRAME_TOLERANCE,HIT 이후 저스트 프레임 캔슬 허용시간,NO
0,0,USE_MOVE_ACCEL,PC가 이동시에 가속도를 사용하는가,NO
0,24576,PC_INIT_INVINCIBLE_TIME,PC최초 접속시 무적시간,NO
0,16384,PC_WARP_INVINCIBLE_TIME,PC Warp (SetPos등) 무적시간,NO
0,0,TEST_VAL_1,테스트용,NO
0,0,TEST_VAL_2,테스트용,NO
0,0,TEST_VAL_3,테스트용,NO
0,0,OPT_COUNT,옵션 최대개수,YES
0,0,SKT_COUNT,소켓 최대개수,YES
0,0,MAGICAMULET_SKT_COUNT,매직어뮬렛 소켓 최대개수,YES
0,0,ITEM_FLY_SPEED,아이템 빨려들어오는속도,NO
0,0,ITEM_FLY_EASING,아이템 빨려들어오는가속도,YES
0,0,ITEM_MEMO_LEN,아이템 메모 최대길이,YES
0,0,RECIPE_ITEM_NAME_LEN,제작 아이템 이름 최대길이,YES
0,0,MOVE_PKT_TIME,이동동기화패킷전송텀,NO
0,0,NOT_ZONE_DOWN,존이안떨어지는것을가정한다. 성능에 제한,NO
0,0,PC_MAX_SYNC_DIST,PC의 최대 동기화 허용거리,NO
0,0,STAMINA_SYNC_TERM,스태미터 패킷 전송 딜레이,NO
0,0,MAX_RANK_PER_PAGE,랭킹 페이지당 최대 PC개수,YES
0,0,PC_DIR_CHECK_TIME,PC방향전환 동기화 체크시간,NO
0,0,RANK_RESET_HOUR,일일 랭킹 리셋시간,NO
0,0,RANK_RESET_DAY,주간 랭킹 리셋 요일,NO
0,0,BTREE_RECREATE_TIME,몬스터 btree 초기화 대기시간. 몬스터주변에 pc없으면 정해진 시간후에 btree를 다시만든다. btree에 잡혀있는 scriptRefCount를 없애서 좀비pc를 없앤다.,NO
0,0,SESSION_OBJ_INVALID_CHECKTIME,세션오브젝트 자동 프로퍼티 전송 체크타임,NO
0,32768,SESSION_OBJECT_ZOMBIE_CHECK_TIME,세션오브젝트의 ArgObj 좀비 체크,NO
0,0,EXP_SAVE_FREQ,,NO
0,0,ITEM_GET_RANGE,아이템 들어오는 거리,NO
0,0,VIS_GET_RANGE,돈 아이템 들어오는 거리,NO
0,0,GUILDQUEST_COUNT,,YES
0,0,FORCE_EFT_DESTROY_BLENDTIME,포스이펙트 destroy SLOW타입시 블랜드 타임,NO
0,0,LIKE_LIST_PAGE,,NO
0,31744,CONTENTS_DB_SAVE_TIME,위키프로퍼티 등 콘텐츠를 주기적으로 저장해주는 시간,NO
0,0,MAX_WIKI_MON_DROPITEM,위키 드랍아이템 저장개수,YES
0,0,MAX_WIKI_MON_MAPID,위키 맵 아이디 저장개수,YES
0,0,MAX_WIKI_TOPATTACK,위키 최고 데미지 저장개수,YES
0,0,MAX_WIKI_MON_ATK,위키 최고 몬스터 공격 저장개수,YES
0,0,MAX_WIKI_ITEM_MON,위키 아이템 드랍 몬스터 저장개수,YES
0,0,MAX_WIKI_ITEM_QUEST,위키 아이템 퀘스트 저장개수,YES
0,0,WIKI_RANK_CNT,위키 상위 랭커 카운트,YES
0,0,SURVEY_QUEST_COUNT,설문조사 지문 최대개수,NO
0,0,MAX_GAME_DIST_RATIO,3DMax와 실제게임간의 거리비율,NO
0,0,SERV_MSPD_FIX,서버전체이동속도픽스,YES
0,0,READY_ANIM_FIX,레디애니속도,NO
0,0,CAST_ANIM_FIX,CAST애니속도,NO
0,0,SHOT_ANIM_FIX,공격애니속도,NO
0,16384,TRAFFIC_UPDATE_PRERIOD,채널 업데이트 Term,NO
0,0,MON_SKILL_CHASE_TIME,몬스터의Chase업데이트타임,NO
0,16384,MON_SKILL_CHASE_MAX_TIME,보스몬스터의 skill Chase 최대 시간. 이시간 지나가면 타겟을 해제한다.,NO
