ClassID,Weight,PR,DamageRange,ItemLv,PATK,MATK,ItemGrade,ItemStar,UseLv,MaterialPrice,Price,PriceRatio,SellPrice,RepairPriceRatio,MaxStack,Scale,DropSoundTime,DeadBreakRatio,NumberArg1,NumberArg2,ItemCoolDown,Dur,MaxDur,repairPrice,UseCount,Hardness,ADD_MINATK,ADD_MAXATK,ADD_DEF,CRTHR,CRTATK,CRTDR,ADD_HR,ADD_DR,STR,DEX,CON,INT,MNA,SR,SDR,MHR,MDEF,MGP,AddSkillMaxR,SkillRange,SkillAngle,Luck,BlockRate,BLK,BLK_BREAK,Revive,HitCount,BackHit,SkillPower,ASPD,MSPD,KDPow,MHP,MSP,MSTA,RHP,RSP,RSPTIME,RSTA,ADD_CLOTH,ADD_LEATHER,ADD_CHAIN,ADD_IRON,ADD_GHOST,ADD_SMALLSIZE,ADD_MIDDLESIZE,ADD_LARGESIZE,ADD_FORESTER,ADD_WIDLING,ADD_VELIAS,ADD_PARAMUNE,ADD_KLAIDA,ADD_FIRE,ADD_ICE,ADD_POISON,ADD_LIGHTNING,ADD_EARTH,ADD_HOLY,ADD_DARK,BaseSocket,MaxSocket,MaxSocket_MA,MinOption,MaxOption,Aries,AriesDEF,Slash,SlashDEF,Strike,StrikeDEF,Aries_Range,Slash_Range,Strike_Range,MinRDmg,MaxRDmg,FDMinR,FDMaxR,TotalArrowCount,ArrowCount,RES_FIRE,RES_ICE,RES_POISON,RES_LIGHTNING,RES_EARTH,RES_HOLY,RES_DARK,MountPATK,MountMATK,ClassName,Name,ItemType,Journal,GroupName,EquipXpGroup,MergeTable1,MergeClass1,MergeTable2,MergeClass2,MergeTable3,MergeClass3,ToolTipScp,BasicTooltipProp,TooltipImage,Icon,ReqToolTip,TooltipValue,OptDesc,Desc,DropSound,EquipSound,InOutScp,Script,Destroyable,ShopTrade,UserTrade,RefreshScp,DropStyle,StringArg,Usable,PreCheckScp,Consumable,UseAnim,ClientScp,ParticleName,UseTx,COOLDOWN,CoolDownGroup,LogoutSave,ClassType,ClassType2,NodeName,ModelType,FileName,AttachType,Attribute,AttackType,Material,UseGender,DBLHand,EqpType,DefaultEqpSlot,WeaponTrailEffect,BlowSoundType,DefSoundType,BlkSoundType,EqpInOut,OptionGroup,IsPrivate,LHandSkill,Reinforce_Type,UsePetEquipGroup,PetSlot,ModelChange,AttachNode
13600,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PETWP01_101,클로,PetWeapon,TRUE,PetWeapon,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,ATK,icon_item_Sword_22,icon_item_Sword_22,컴패니언 무기,,,이 분야의 장비들은 대장장이와 장제사의 재능이 모두 요구됩니다. 그런 점에서 간단한 클로라도 제조가 단순하지 않습니다. ,item_drop_weapon,block_shield.wav,,,YES,YES,YES,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,REQ_PET_EQUIP,,NO,,,No,Sword,Sword,Dummy_L_HAND,PC_WAR_F,velhider_root_mole,Sword,Melee,Slash,,Both,NO,SH,RH,I_swordtrail004_blue,Sword,,Sword,,C_Sword,NO,,Moru,Velhider,WEAPON,,Dummy_head
13632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PETWP01_102,아이언 클로,PetWeapon,TRUE,PetWeapon,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,ATK,icon_item_Sword_22,icon_item_Sword_22,컴패니언 무기,,,마성을 지닌 몇몇 야수는 철에 민감하므로 제조에 비법이 관련됩니다.,item_drop_weapon,block_shield.wav,,,YES,YES,YES,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,REQ_PET_EQUIP,,NO,,,No,Sword,Sword,Dummy_L_HAND,PC_WAR_F,velhider_root_mole,Sword,Melee,Slash,,Both,NO,SH,RH,I_swordtrail004_blue,Sword,,Sword,,C_Sword,NO,,Moru,Velhider,WEAPON,,Dummy_head
13664,0,0,0,0,0,0,0,0,0,0,57344,0,0,0,0,39322,0,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PETWP01_103,스틸 클로,PetWeapon,TRUE,PetWeapon,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,ATK,icon_item_Sword_22,icon_item_Sword_22,컴패니언 무기,,,조금 더 내구력이 강한 쇠로 만듭니다. 그외에는 아이언 클로와 비슷합니다.,item_drop_weapon,block_shield.wav,,,YES,YES,YES,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,REQ_PET_EQUIP,,NO,,,No,Sword,Sword,Dummy_L_HAND,PC_WAR_F,velhider_root_mole,Sword,Melee,Slash,,Both,NO,SH,RH,I_swordtrail004_blue,Sword,,Sword,,C_Sword,NO,,Moru,Velhider,WEAPON,,Dummy_head
13696,0,0,0,0,0,0,0,0,0,0,9216,0,49152,0,0,39322,0,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PETWP01_104,포레스트 클로,PetWeapon,TRUE,PetWeapon,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,ATK,icon_item_Sword_22,icon_item_Sword_22,컴패니언 무기,,,신수의 날 이후 식물몬스터의 퇴치를 기원하는 뜻이 담겨 있습니다.,item_drop_weapon,block_shield.wav,,,YES,YES,YES,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,REQ_PET_EQUIP,,NO,,,No,Sword,Sword,Dummy_L_HAND,PC_WAR_F,velhider_root_mole,Sword,Melee,Slash,,Both,NO,SH,RH,I_swordtrail004_blue,Sword,,Sword,,C_Sword,NO,,Moru,Velhider,WEAPON,,Dummy_head
13728,0,0,0,0,0,0,0,0,0,0,30720,0,36864,0,0,39322,0,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PETWP01_105,로카스 클로,PetWeapon,TRUE,PetWeapon,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,ATK,icon_item_Sword_22,icon_item_Sword_22,컴패니언 무기,,,이 클로의 제조법은 실전되었다가 협곡지대의 고고학자들에 의해 재발견된 후 다시 만들어지고 있습니다.,item_drop_weapon,block_shield.wav,,,YES,YES,YES,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,REQ_PET_EQUIP,,NO,,,No,Sword,Sword,Dummy_L_HAND,PC_WAR_F,velhider_root_mole,Sword,Melee,Slash,,Both,NO,SH,RH,I_swordtrail004_blue,Sword,,Sword,,C_Sword,NO,,Moru,Velhider,WEAPON,,Dummy_head
13760,0,0,0,0,0,0,0,0,0,0,28672,0,22528,0,0,39322,0,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PETWP01_106,투스,PetWeapon,TRUE,PetWeapon,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,ATK,icon_item_Sword_22,icon_item_Sword_22,컴패니언 무기,,,이가 빠진 경우에도 물 수 있도록 도와줍니다. ,item_drop_weapon,block_shield.wav,,,YES,YES,YES,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,REQ_PET_EQUIP,,NO,,,No,Sword,Sword,Dummy_L_HAND,PC_WAR_F,velhider_root_mole,Sword,Melee,Slash,,Both,NO,SH,RH,I_swordtrail004_blue,Sword,,Sword,,C_Sword,NO,,Moru,Velhider,WEAPON,,Dummy_head
13792,0,0,0,0,0,0,0,0,0,0,512,0,38912,0,0,39322,0,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PETWP01_107,아이언 투스,PetWeapon,TRUE,PetWeapon,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,ATK,icon_item_Sword_22,icon_item_Sword_22,컴패니언 무기,,,이 종류의 아이템은 본래 낱개로도 쓰일 수 있도록 만들어졌습니다.,item_drop_weapon,block_shield.wav,,,YES,YES,YES,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,REQ_PET_EQUIP,,NO,,,No,Sword,Sword,Dummy_L_HAND,PC_WAR_F,velhider_root_mole,Sword,Melee,Slash,,Both,NO,SH,RH,I_swordtrail004_blue,Sword,,Sword,,C_Sword,NO,,Moru,Velhider,WEAPON,,Dummy_head
13824,0,0,0,0,0,0,0,0,0,0,8192,0,58880,0,0,39322,0,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PETWP01_108,스틸 투스,PetWeapon,TRUE,PetWeapon,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,ATK,icon_item_Sword_22,icon_item_Sword_22,컴패니언 무기,,,착용시키면 더 용맹성을 드러내도록 만들어졌습니다.,item_drop_weapon,block_shield.wav,,,YES,YES,YES,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,REQ_PET_EQUIP,,NO,,,No,Sword,Sword,Dummy_L_HAND,PC_WAR_F,velhider_root_mole,Sword,Melee,Slash,,Both,NO,SH,RH,I_swordtrail004_blue,Sword,,Sword,,C_Sword,NO,,Moru,Velhider,WEAPON,,Dummy_head
13856,0,0,0,0,0,0,0,0,0,0,54016,0,56320,0,0,39322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PETWP01_109,실버 팽,PetWeapon,TRUE,PetWeapon,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,ATK,icon_item_Sword_22,icon_item_Sword_22,컴패니언 무기,,,입이 아닌 곳에 사용하지 않도록 하십시오.,item_drop_weapon,block_shield.wav,,,YES,YES,YES,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,REQ_PET_EQUIP,,NO,,,No,Sword,Sword,Dummy_L_HAND,PC_WAR_F,velhider_root_mole,Sword,Melee,Slash,,Both,NO,SH,RH,I_swordtrail004_blue,Sword,,Sword,,C_Sword,NO,,Moru,Velhider,WEAPON,,Dummy_head
13888,0,0,0,0,0,0,0,0,0,0,16000,0,12800,0,0,39322,0,0,0,0,0,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PETWP01_110,티타늄 클로,PetWeapon,TRUE,PetWeapon,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,ATK,icon_item_Sword_22,icon_item_Sword_22,컴패니언 무기,,,주인의 신뢰를 받고 있다는 확실한 증거로 볼 수 있습니다.,item_drop_weapon,block_shield.wav,,,YES,YES,YES,SCR_REFRESH_WEAPON,Normal,,NO,,NO,,REQ_PET_EQUIP,,NO,,,No,Sword,Sword,Dummy_L_HAND,PC_WAR_F,velhider_root_mole,Sword,Melee,Slash,,Both,NO,SH,RH,I_swordtrail004_blue,Sword,,Sword,,C_Sword,NO,,Moru,Velhider,WEAPON,,Dummy_head
