ClassID,WikiPoint,NeedCount,ClassName,Group,Category,Name,Desc,Icon,NeedPoint,NotifyToServer,EnterEquipScript,EquipingScript,LeaveEquipScript
16384,0,0,RankTest1,WeekRanker,랭킹테스트,테스트 랭킹,테스트,icon_item_Misc_00021,Ranking1,NO,,,
32768,0,0,TopDamage,WeekRanker,데미지,탑데미지,최고데미지,icon_item_Misc_00021,Damage_Week,NO,,,
8192,0,0,PlayCBT1,WeekRanker,이벤트,태초의 구원자,CBT참여한 유저들에게 주어지는 칭호입니다.,icon_item_Misc_00021,PlayCBT1,YES,,,
20608,0,0,Kill_1_50,AchievePoint,킬,몬스터 지배자,몬스터를 100마리 처치했다.,icon_item_Misc_00021,MonKill,YES,,,
20736,0,0,Kill_1_100,AchievePoint,킬,몬스터 정복자,"몬스터를 1,000마리 처치했다.",icon_item_Misc_00021,MonKill,YES,,,
20864,0,16384,Kill_1_500,AchievePoint,킬,몬스터 몰살자,"몬스터를 10,000마리 처치했다.",icon_item_Misc_00021,MonKill,YES,,,
20992,0,20480,Kill_1_1000,AchievePoint,킬,몬스터 헌터,"몬스터를 100,000마리 처치했다.",icon_item_Misc_00021,MonKill,YES,,,
21120,0,0,OverKill_1,AchievePoint,오버킬,오버킬을 성공한 자,오버킬을 100회 달성했다.,icon_item_Misc_00021,OverKill,YES,,,
21248,0,0,OverKill_Starter,AchievePoint,오버킬,오버킬의 초보자,오버킬을 500회 달성했다.,icon_item_Misc_00021,OverKill,YES,,,
21376,0,0,OverKill_Master,AchievePoint,오버킬,오버킬의 달인,"오버킬을 1,000회 달성했다.",icon_item_Misc_00021,OverKill,YES,,,
21504,0,32768,OverKill_Father,AchievePoint,오버킬,오버킬의 신,"오버킬을 3,000회 달성했다.",icon_item_Misc_00021,OverKill,YES,,,
23040,0,0,BossKill_1_1,AchievePoint,킬,보스 지배자,보스 몬스터를 100마리를 처치했다.,icon_item_Misc_00021,MonBossKill,YES,,,
23168,0,0,BossKill_1_5,AchievePoint,킬,보스 정복자,보스 몬스터를 300마리를 처치했다.,icon_item_Misc_00021,MonBossKill,YES,,,
23296,0,0,BossKill_1_10,AchievePoint,킬,보스 헌터,보스 몬스터를 500마리를 처치했다.,icon_item_Misc_00021,MonBossKill,YES,,,
23680,0,0,Revive_1_100,AchievePoint,사망,워킹 데드,NXP로 부활한 횟수 100회 이상 달성했다.,icon_item_Misc_00021,PcRevive,YES,,,
26112,0,0,Recipe_1_1,AchievePoint,제작,제작 초보자,제작을 10회 성공했다. 득을 본 기분이다.,icon_item_Misc_00021,ItemRecipe,YES,,,
26240,0,0,Recipe_1_10,AchievePoint,제작,제작 숙련자,제작을 50회 성공했다. 이젠 제작도 꽤 손에 익었다.,icon_item_Misc_00021,ItemRecipe,YES,,,
26368,0,0,Recipe_1_100,AchievePoint,제작,제작 전문가,제작을 100회 성공했다. 점점 재산이 불어나는게 보인다.,icon_item_Misc_00021,ItemRecipe,YES,,,
26496,0,0,Recipe_1_1000,AchievePoint,제작,제작 신,제작을 300회 성공했다. 말이 필요 없다.,icon_item_Misc_00021,ItemRecipe,YES,,,
33408,0,0,PCKill_Starter,AchievePoint,PVP,도전자,플레이어 3명을 전투불능으로 만들었다.,icon_item_Misc_00021,PcKill,YES,,,
33536,0,0,PCKill_Gla,AchievePoint,PVP,검투사,플레이어 10명을 전투불능으로 만들었다.,icon_item_Misc_00021,PcKill,YES,,,
33664,0,0,PCKill_Director,AchievePoint,PVP,전쟁의 지휘자,플레이어를 20명 전투불능으로 만들었다.,icon_item_Misc_00021,PcKill,YES,,,
33792,0,0,PCKill_God,AchievePoint,PVP,전쟁의 신,플레이어를 50명 전투불능으로 만들었다.,icon_item_Misc_00021,PcKill,YES,,,
19968,0,0,Connect_Starter,AchievePoint,폐인,몬스터 에너지,7일동안 플레이를 했다.,icon_item_Misc_00021,Connection,YES,,,
20096,0,0,Cat,AchievePoint,대길,대길이 스토커,대길이를 100번 귀찮게 하였다.,icon_item_Misc_00021,DaegilCat,YES,,,
20224,0,0,Hair,AchievePoint,헤어,난 소중하니깐,미용실 3번 방문하였다.,icon_item_Misc_00021,HairShop,YES,,,
20352,0,0,Treasure,AchievePoint,트레져 헌터,트레져 헌터,20개의 보물상자를 도굴하였다.,icon_item_Misc_00021,TreasureBox,YES,,,
21248,0,0,TournamentGift_1,AchievePoint,토너먼트,토너먼트 팬클럽,경기중 20개의 선물을 줬다.,icon_item_Misc_00021,TournamentGift,YES,,,
21376,0,0,TournamentGift_2,AchievePoint,토너먼트,토너먼트 광팬,경기중 100개의 선물을 줬다.,icon_item_Misc_00021,TournamentGift,YES,,,
21504,0,0,TournamentGift_3,AchievePoint,토너먼트,토너먼트 팬클럽 부회장,경기중 500개의 선물을 줬다.,icon_item_Misc_00021,TournamentGift,YES,,,
